,words,phone,phone_order,wordnum,start_s,end_s,audibility,ids,filename
5361,tummeln,ʊ,8,3,0.7371201814058957,0.8570975056689343,0.7442708333333333,162,162.csv
5362,tummeln,m,9,3,0.8571201814058957,0.9670975056689343,0.20256696428571427,162,162.csv
5363,tummeln,ə,10,3,0.9671201814058957,0.9970975056689343,0.173828125,162,162.csv
5364,tummeln,l,11,3,0.9971201814058956,1.0670975056689342,0.1987847222222222,162,162.csv
5365,tummeln,n,12,3,1.0671201814058957,1.1070975056689343,0.296875,162,162.csv
5366,sich,z,13,4,1.1071201814058957,1.2470975056689342,0.7057291666666666,162,162.csv
5367,sich,ɪ,14,4,1.2471201814058956,1.3370975056689343,0.8717447916666666,162,162.csv
5368,sich,ç,15,4,1.3371201814058957,1.4070975056689343,0.23177083333333334,162,162.csv
5369,faszinierende,f,16,5,1.4071201814058958,1.5470975056689342,0.11067708333333333,162,162.csv
5370,faszinierende,a,17,5,1.5471201814058957,1.6470975056689343,0.21514423076923078,162,162.csv
5371,faszinierende,s,18,5,1.6471201814058958,1.8270975056689343,0.34171195652173914,162,162.csv
5372,faszinierende,ts,19,5,1.8271201814058957,1.8670975056689343,0.559375,162,162.csv
5373,faszinierende,i,20,5,1.8671201814058958,1.9470975056689341,0.27421875,162,162.csv
5374,faszinierende,n,21,5,1.9471201814058956,2.007097505668934,0.1552734375,162,162.csv
5375,faszinierende,iː,22,5,2.0071201814058957,2.137097505668934,0.22334558823529413,162,162.csv
5376,faszinierende,r,23,5,2.1371201814058955,2.197097505668934,0.0859375,162,162.csv
5377,faszinierende,ə,24,5,2.1971201814058956,2.2270975056689344,0.103515625,162,162.csv
5378,faszinierende,n,25,5,2.227120181405896,2.327097505668934,0.16646634615384615,162,162.csv
5379,faszinierende,d,26,5,2.3271201814058955,2.367097505668934,0.459375,162,162.csv
5380,faszinierende,ə,27,5,2.3671201814058955,2.467097505668934,0.6262019230769231,162,162.csv
5381,Lebensformen,l,28,6,2.4671201814058956,2.577097505668934,0.08649553571428571,162,162.csv
5382,Lebensformen,eː,29,6,2.5771201814058955,2.717097505668934,0.2881944444444444,162,162.csv
5383,Lebensformen,b,30,6,2.7171201814058956,2.7670975056689344,0.013392857142857142,162,162.csv
5384,Lebensformen,ə,31,6,2.767120181405896,2.8070975056689345,0.14375,162,162.csv
5385,Lebensformen,n,32,6,2.8071201814058955,2.907097505668934,0.12379807692307693,162,162.csv
5386,Lebensformen,s,33,6,2.9071201814058956,3.0570975056689345,0.2080592105263158,162,162.csv
5387,Lebensformen,f,34,6,3.0571201814058955,3.1270975056689343,0.07725694444444445,162,162.csv
5388,Lebensformen,ɔ,35,6,3.1271201814058958,3.2470975056689344,0.18489583333333334,162,162.csv
5389,Lebensformen,ɐ,36,6,3.247120181405896,3.327097505668934,0.3125,162,162.csv
5390,Lebensformen,m,37,6,3.3271201814058955,3.427097505668934,0.8774038461538461,162,162.csv
5391,Lebensformen,a,38,6,3.4271201814058956,3.487097505668934,0.728515625,162,162.csv
5392,Lebensformen,eː,39,6,3.4871201814058956,3.527097505668934,0.45,162,162.csv
5393,Lebensformen,n,40,6,3.5271201814058957,3.6270975056689343,0.1544471153846154,162,162.csv
5394,Ein,ʔ,1,1,0.0,0.04709750566893424,0.11197916666666667,209,209.csv
5395,Ein,aɪ,2,1,0.04712018140589569,0.15709750566893424,0.7092633928571429,209,209.csv
5396,Ein,n,3,1,0.1571201814058957,0.2870975056689342,0.19944852941176472,209,209.csv
5397,Schiff,ʃ,4,2,0.2871201814058957,0.4770975056689342,0.2659505208333333,209,209.csv
5398,Schiff,ɪ,5,2,0.4771201814058957,0.5770975056689343,0.2626201923076923,209,209.csv
5399,Schiff,f,6,2,0.5771201814058957,0.8270975056689343,0.26904296875,209,209.csv
