,word,word_order,start_s,end_s,audibility,ids,filename
1027,Die,1,0.0,0.15709750566893424,0.550390625,016,016.csv
1028,Kaffeetasse,2,0.2071201814058957,1.3170975056689342,0.40568794964028776,016,016.csv
1029,klirrt,3,1.6071201814058957,1.9970975056689342,0.4770408163265306,016,016.csv
1030,beim,4,2.0471201814058957,2.2670975056689344,0.2631138392857143,016,016.csv
1031,Frühstück,5,2.267120181405896,3.0570975056689345,0.3162878787878788,016,016.csv
1032,Der,1,0.0,0.12709750566893424,0.595703125,259,259.csv
1033,Nachbar,2,0.1271201814058957,0.7770975056689342,0.3891958841463415,259,259.csv
1034,trägt,3,0.7771201814058957,1.1570975056689343,0.2845052083333333,259,259.csv
1035,heute,4,1.1571201814058958,1.6270975056689343,0.380958686440678,259,259.csv
1036,einen,5,1.6271201814058958,1.9770975056689342,0.5340909090909091,259,259.csv
1037,bunten,6,1.9771201814058956,2.507097505668934,0.285097947761194,259,259.csv
1038,Anzug,7,2.5071201814058957,3.3006122448979593,0.239140625,259,259.csv
1039,Ein,1,0.0,0.16709750566893425,0.41703869047619047,117,117.csv
1040,Stückchen,2,0.16712018140589568,0.7670975056689342,0.29614583333333333,117,117.csv
1041,weiter,3,0.7671201814058957,1.0770975056689343,0.5979567307692307,117,117.csv
1042,nördlich,4,1.0771201814058957,1.6570975056689343,0.4199486301369863,117,117.csv
1043,ist,5,1.6571201814058958,1.9070975056689343,0.2939453125,117,117.csv
1044,eine,6,1.9071201814058958,2.237097505668934,0.38095238095238093,117,117.csv
1045,Umgehungsstraße,7,2.2371201814058956,3.4970975056689344,0.37178599683544306,117,117.csv
1046,Der,1,0.0,0.14709750566893423,0.17639802631578946,200,200.csv
1047,Fernseher,2,0.1471201814058957,0.9470975056689342,0.358125,200,200.csv
1048,zeigt,3,1.0171201814058957,1.4370975056689343,0.37234669811320753,200,200.csv
1049,die,4,1.4371201814058956,1.6270975056689343,0.3069661458333333,200,200.csv
1050,Nachrichten,5,1.6271201814058958,2.619501133786848,0.24775,200,200.csv
1051,Die,1,0.0,0.16709750566893425,0.3002232142857143,033,033.csv
1052,Sonne,2,0.16712018140589568,0.6870975056689342,0.5188701923076923,033,033.csv
1053,scheint,3,0.6871201814058957,1.1870975056689343,0.4503968253968254,033,033.csv
1054,am,4,1.1871201814058956,1.4170975056689343,0.27747844827586204,033,033.csv
1055,blauen,5,1.4171201814058958,1.7970975056689342,0.51025390625,033,033.csv
1056,Himmel,6,1.7971201814058957,2.2870975056689344,0.4231350806451613,033,033.csv
1057,Der,1,0.0,0.14709750566893423,0.7154605263157895,034,034.csv
1058,Hund,2,0.1471201814058957,0.6970975056689342,0.3300498188405797,034,034.csv
1059,bellt,3,0.8271201814058957,1.1170975056689343,0.4248310810810811,034,034.csv
1060,vor,4,1.1171201814058958,1.3870975056689343,0.30721507352941174,034,034.csv
1061,dem,5,1.3871201814058958,1.5670975056689342,0.3383152173913043,034,034.csv
1062,Haus,6,1.5671201814058957,2.137097505668934,0.423828125,034,034.csv
1063,Wenn,1,0.01712018140589569,0.24709750566893424,0.13442887931034483,110,110.csv
1064,der,2,0.2471201814058957,0.40709750566893427,0.541796875,110,110.csv
1065,Schnee,3,0.4071201814058957,0.8370975056689343,0.42433449074074076,110,110.csv
1066,schmilzt,4,0.8371201814058957,1.6470975056689343,0.3628982843137255,110,110.csv
1067,kommt,5,1.7271201814058956,2.0570975056689345,0.19270833333333334,110,110.csv
1068,der,6,2.0571201814058955,2.217097505668934,0.393359375,110,110.csv
1069,Frühling,7,2.2171201814058956,2.887097505668934,0.28515625,110,110.csv
1070,Die,1,0.0,0.16709750566893425,0.35639880952380953,207,207.csv
1071,Vögel,2,0.16712018140589568,0.8670975056689343,0.3986150568181818,207,207.csv
1072,umkreisten,3,0.8671201814058956,2.0570975056689345,0.31234270134228187,207,207.csv
1073,den,4,2.0571201814058955,2.3170975056689342,0.2940340909090909,207,207.csv
1074,Turm,5,2.3171201814058957,2.8570975056689343,0.21392463235294118,207,207.csv
1075,Unsere,1,0.0,0.44709750566893425,0.36593191964285715,099,099.csv
1076,Söhne,2,0.4471201814058957,1.0070975056689342,0.6306919642857143,099,099.csv
1077,lieben,3,1.0071201814058957,1.4470975056689341,0.315625,099,099.csv
1078,flotte,4,1.4471201814058956,1.8770975056689343,0.32132523148148145,099,099.csv
1079,Tänze,5,1.8771201814058958,2.5170975056689344,0.38251953125,099,099.csv
1080,Gleich,1,0.0,0.4770975056689342,0.31471354166666665,048,048.csv
1081,hier,2,0.4771201814058957,0.7670975056689342,0.5171030405405406,048,048.csv
1082,sind,3,0.7671201814058957,1.0470975056689342,0.34084821428571427,048,048.csv
1083,die,4,1.0471201814058957,1.2370975056689342,0.21647135416666666,048,048.csv
1084,Nahrungsmittel,5,1.2371201814058956,2.2670975056689344,0.41515261627906974,048,048.csv
1085,Im,1,0.0,0.26709750566893425,0.29021139705882354,162,162.csv
